Clothing ID,Division Name,Department Name,Class Name
1,2,5,6
2,1,1,18
3,2,4,5
4,2,4,8
5,2,4,8
6,2,4,8
7,2,4,8
8,2,5,6
9,1,1,13
10,2,3,15
11,1,1,20
12,2,3,15
13,2,4,5
14,2,2,2
15,1,1,1
16,1,1,18
17,2,2,2
18,2,2,2
19,3,3,15
20,2,5,6
21,2,2,2
22,3,4,10
23,2,4,5
24,3,2,2
25,1,1,13
26,2,4,5
27,2,2,2
28,1,1,1
29,1,1,13
30,3,2,2
31,3,2,2
32,1,1,13
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,2,3,17
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,16
43,1,1,1
44,1,1,1
45,1,1,1
46,2,3,19
47,1,1,1
48,1,1,13
49,1,1,1
50,1,1,1
51,1,1,1
52,1,1,18
53,2,3,17
54,2,3,17
55,2,3,19
56,2,3,17
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,1,1,7
62,1,1,18
63,3,1,7
64,2,3,17
65,1,1,11
66,2,3,17
67,1,1,11
68,1,1,18
69,1,1,18
70,1,1,18
71,2,3,17
72,1,1,16
73,,,
74,1,1,1
75,1,1,1
76,2,3,17
77,1,1,16
78,1,1,16
79,1,1,1
80,1,1,13
81,1,1,13
82,1,1,16
83,1,1,7
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,1,1,1
89,1,1,1
90,1,1,11
91,1,1,16
92,1,1,11
93,1,1,1
94,1,1,11
95,1,1,7
96,1,1,1
97,1,1,1
98,1,1,11
99,1,1,1
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,1,18
105,1,1,7
106,1,1,7
107,1,1,11
108,1,1,11
109,1,1,7
110,1,1,18
111,1,1,7
112,1,1,7
113,3,1,7
114,1,1,11
115,1,1,7
116,1,1,11
117,1,1,11
118,1,1,16
119,1,1,11
120,1,1,13
121,1,1,13
122,1,1,18
123,1,1,11
124,1,1,11
125,1,1,11
126,1,1,18
